PRODUTO           |KIT ID             |QTDE            |COD INTERNO
SISCATI 10X560    |HG325-26-10 DK     |          2,0000|       335819
SISCATI 1100      |EQUATOR-16         |          1,1000|       337873
SISCATI 1100      |HG560-16-16        |          2,0000|        18841
SISCATI 12X500    |EQUATOR-12         |          0,5000|       338819
SISCATI 12X500    |HG311-30-12DK2     |          1,0000|       339006
SISCATI 12X500    |HG325-30-12 DK     |          1,0000|       335700
SISCATI 12X580    |EQUATOR-12         |          0,5800|       338819
SISCATI 12X580    |HG311-30-12DK2     |          1,0000|       339006
SISCATI 12X580    |HG325-30-12 DK     |          1,0000|       335700
SISCATI 16X520    |EQUATOR-16         |          0,5200|       337873
SISCATI 16X520    |HG311-36-16DKO     |          2,0000|       335721
SISCATI 16X880    |EQUATOR-16         |          0,8800|       337873
SISCATI 16X880    |HG311-36-16DKO     |          1,0000|       335721
SISCATI 16X880    |HG325-36-16        |          1,0000|        18827
SM 16X780         |100-16-16          |          1,0000|        11033
SM 16X780         |100R2AT-16         |          0,7800|        11101
SM 16X780         |103-16-16          |          1,0000|        11233
SM 8X650          |100-10-8           |          2,0000|        11023
SM 8X650          |100R2AT-8          |          0,6500|        11108
SN 8X1250         |100-10-8           |          1,0000|        11023
SN 8X1250         |100R2AT-8          |          1,5000|        11108
SN 8X1250         |MP-20-8            |          1,2500|        21334
SOMATEC 10X520    |100R2AT-10         |          0,5200|        11099
SOMATEC 10X520    |ORS-10-10          |          1,0000|        22108
SOMATEC 10X520    |ORS90-10-10        |          1,0000|        22134
SOMATEC 10X750    |100-12-10          |          1,0000|        11025
SOMATEC 10X750    |100R2AT-10         |          0,7500|        11099
SOMATEC 10X750    |109-10-10          |          1,0000|        11359
SOMATEC 1300      |100R2AT-12         |          1,3000|        11100
SOMATEC 1300      |106-16-12          |          1,0000|        11320
